Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","S-1-Total","Q-1-Total","PF-1-Total","FreqU-1-Total","U-2-Total","I-2-Total","P-2-Total","S-2-Total","Q-2-Total","PF-2-Total","FreqU-2-Total","Q-2-Total","S-2-Total","FreqU-2-Total","FreqI-2-Total","PF-2-Total","U-2-1","I-2-1","P-2-1","U-3-Total","I-3-Total"
26,  2022/05/06,13:09:47, 32,  120.306 ,   20.445 ,  2.4582E+03,  2.4584E+03, -0.0331E+03,  0.99991 ,   60.001 ,  120.372 ,   20.336 ,  2.4463E+03,  2.4467E+03, -0.0421E+03,  0.99985 ,   60.001 , -0.0421E+03,  2.4467E+03,   60.001 ,   60.004 ,  0.99985 ,  120.370 ,   20.328 ,  2.4465E+03,    1.725 ,    0.126 
27,  2022/05/06,13:09:47,533,  120.306 ,   20.449 ,  2.4587E+03,  2.4590E+03, -0.0329E+03,  0.99991 ,   60.000 ,  120.365 ,   20.346 ,  2.4473E+03,  2.4477E+03, -0.0413E+03,  0.99986 ,   60.000 , -0.0413E+03,  2.4477E+03,   60.000 ,   59.996 ,  0.99986 ,  120.363 ,   20.338 ,  2.4476E+03,    1.718 ,    0.117 
28,  2022/05/06,13:09:48, 32,  120.306 ,   20.443 ,  2.4579E+03,  2.4581E+03, -0.0336E+03,  0.99991 ,   59.999 ,  120.374 ,   20.335 ,  2.4461E+03,  2.4465E+03, -0.0438E+03,  0.99984 ,   60.001 , -0.0438E+03,  2.4465E+03,   60.001 ,   60.000 ,  0.99984 ,  120.372 ,   20.326 ,  2.4463E+03,    1.711 ,    0.123 
29,  2022/05/06,13:09:48,533,  120.300 ,   20.441 ,  2.4576E+03,  2.4578E+03, -0.0321E+03,  0.99991 ,   59.998 ,  120.364 ,   20.330 ,  2.4454E+03,  2.4458E+03, -0.0423E+03,  0.99985 ,   59.998 , -0.0423E+03,  2.4458E+03,   59.998 ,   59.999 ,  0.99985 ,  120.363 ,   20.322 ,  2.4457E+03,    1.705 ,    0.116 
30,  2022/05/06,13:09:49, 32,  120.312 ,   20.440 ,  2.4578E+03,  2.4580E+03, -0.0332E+03,  0.99991 ,   59.999 ,  120.357 ,   20.335 ,  2.4458E+03,  2.4462E+03, -0.0425E+03,  0.99985 ,   60.001 , -0.0425E+03,  2.4462E+03,   60.001 ,   60.001 ,  0.99985 ,  120.356 ,   20.327 ,  2.4461E+03,    1.701 ,    0.119 
31,  2022/05/06,13:09:49,532,  120.314 ,   20.446 ,  2.4585E+03,  2.4588E+03, -0.0338E+03,  0.99991 ,   60.000 ,  120.361 ,   20.331 ,  2.4453E+03,  2.4457E+03, -0.0425E+03,  0.99985 ,   60.002 , -0.0425E+03,  2.4457E+03,   60.002 ,   60.001 ,  0.99985 ,  120.359 ,   20.322 ,  2.4456E+03,    1.695 ,    0.116 
32,  2022/05/06,13:09:50, 31,  120.308 ,   20.452 ,  2.4590E+03,  2.4592E+03, -0.0322E+03,  0.99991 ,   60.001 ,  120.367 ,   20.326 ,  2.4448E+03,  2.4452E+03, -0.0429E+03,  0.99985 ,   60.002 , -0.0429E+03,  2.4452E+03,   60.002 ,   60.004 ,  0.99985 ,  120.365 ,   20.317 ,  2.4451E+03,    1.691 ,    0.125 
33,  2022/05/06,13:09:50,533,  120.304 ,   20.453 ,  2.4592E+03,  2.4594E+03, -0.0317E+03,  0.99992 ,   60.002 ,  120.370 ,   20.340 ,  2.4468E+03,  2.4471E+03, -0.0411E+03,  0.99986 ,   60.002 , -0.0411E+03,  2.4471E+03,   60.002 ,   59.996 ,  0.99986 ,  120.368 ,   20.333 ,  2.4470E+03,    1.687 ,    0.119 
34,  2022/05/06,13:09:51, 33,  120.310 ,   20.452 ,  2.4591E+03,  2.4593E+03, -0.0336E+03,  0.99991 ,   59.998 ,  120.362 ,   20.350 ,  2.4477E+03,  2.4481E+03, -0.0416E+03,  0.99986 ,   59.998 , -0.0416E+03,  2.4481E+03,   59.998 ,   60.004 ,  0.99986 ,  120.361 ,   20.341 ,  2.4480E+03,    1.685 ,    0.127 
35,  2022/05/06,13:09:51,532,  120.310 ,   20.445 ,  2.4583E+03,  2.4585E+03, -0.0320E+03,  0.99992 ,   60.000 ,  120.370 ,   20.321 ,  2.4444E+03,  2.4448E+03, -0.0436E+03,  0.99984 ,   60.002 , -0.0436E+03,  2.4448E+03,   60.002 ,   60.000 ,  0.99984 ,  120.368 ,   20.313 ,  2.4447E+03,    1.682 ,    0.119 
